46,86,27
24,33,67
86,27,59
61,86,91
84,67,33
56,16,92
16,70,87
52,33,71
42,17,5
30,10,1
10,59,79
29,13,27
78,30,45
69,69,54
88,88,71
61,69,4
20,4,61
69,47,71
90,63,19
63,37,14
70,68,13
81,91,84
31,19,92
6,19,83
92,11,54
100,66,60
58,63,41
91,94,9
54,66,96
83,70,63
58,48,57
50,16,11
54,47,14
30,27,70
19,84,4
72,36,91
50,62,23
51,77,50
12,35,98
32,51,75
100,93,15
58,54,63
96,88,93
34,18,42
23,18,24
63,99,39
24,90,23
32,12,73
99,36,34
9,50,74
73,38,35
79,34,47
60,37,46
25,53,84
43,20,15
43,36,75
69,16,51
36,34,37
7,82,78
50,45,10
31,35,47
6,81,82
11,7,95
77,87,66
96,97,43
85,53,25
37,23,51
61,26,4
51,61,58
13,70,45
16,54,77
97,19,81
62,28,25
86,4,31
52,95,77
38,25,19
83,61,74
57,24,12
63,42,10
96,80,17
79,4,36
60,62,20
28,16,18
12,49,12
56,34,74
87,65,49
45,94,72
23,1,11
43,76,48
42,63,31
36,62,93
64,64,26
55,96,56
99,32,71
72,75,88
67,4,27
11,35,56
51,88,56
31,52,8
52,72,16
14,41,74
63,14,46
21,26,67
24,100,86
27,57,14
8,84,13
66,59,10
13,91,4
79,16,49
95,4,71
94,77,18
55,79,53
63,16,34
99,24,73
11,70,8
18,77,76
58,75,95
74,54,87
20,51,1
45,9,65
24,25,40
79,2,9
19,35,27
91,50,22
56,67,54
59,46,68
37,13,54
87,71,84
5,75,23
78,66,59
83,46,17
98,46,38
20,99,63
71,74,34
58,86,34
25,66,43
1,89,31
89,69,49
22,38,95
53,79,52
4,29,14
98,69,14
60,17,82
55,86,52
98,100,65
55,93,15
93,39,74
84,11,35
82,34,80
20,81,13
52,64,2
63,95,97
69,16,40
71,67,20
75,18,44
21,82,47
69,47,45
100,52,6
97,2,80
57,22,24
37,33,41
83,64,7
20,46,23
43,22,46
60,19,23
55,39,33
62,80,72
88,67,43
62,94,10
50,80,28
8,96,7
44,76,44
93,50,89
59,74,100
70,65,64
6,83,90
6,60,87
49,93,54
65,75,33
42,13,86
60,77,41
25,73,82
34,87,26
62,11,40
74,12,60
48,79,66
75,73,31
35,87,57
4,48,64
45,56,40
11,20,79
91,11,61
51,32,88
74,21,86
45,89,87
20,76,52
53,77,47
21,23,93
3,52,40
56,40,68
7,49,89
46,19,67
9,57,31
56,24,54
97,68,76
89,82,17
83,21,73
12,21,14
80,76,15
14,21,21
3,79,46
58,39,1
33,81,79
76,57,60
74,97,65
86,33,99
12,40,39
52,42,74
53,96,55
64,11,50
74,30,30
90,64,52
21,13,13
63,99,81
94,36,37
8,95,88
1,20,15
62,34,17
83,78,9
95,69,65
87,34,31
72,54,37
31,44,2
18,18,17
100,21,68
78,69,64
68,53,83
66,5,26
20,72,16
54,64,88
84,25,81
17,26,82
34,91,99
42,78,26
73,78,42
26,31,62
8,97,98
49,32,51
51,85,46
57,99,89
100,79,96
4,74,25
84,26,64
17,81,26
17,36,27
64,3,56
64,98,91
70,83,73
39,6,32
64,41,63
17,5,17
87,46,85
97,72,82
21,62,12
15,36,78
94,85,77
74,62,54
99,66,37
67,4,37
82,78,94
45,71,78
10,48,93
22,22,34
34,65,56
64,44,52
12,3,81
21,93,93
55,45,56
87,75,8
17,78,8
48,77,2
87,89,35
79,80,30
42,99,73
73,97,74
59,79,16
88,46,8
26,90,82
55,11,70
34,6,39
94,14,100
98,1,9
81,21,12
67,1,57
15,34,82
18,22,92
64,99,75
79,69,2
97,96,37
84,83,33
9,41,66
63,5,27
53,1,28
73,29,8
18,14,72
90,75,14
91,73,77
60,61,44
9,36,9
84,48,22
35,18,96
59,44,31
60,50,15
68,29,21
74,83,9
79,24,27
88,52,66
30,84,1
83,81,62
55,97,37
51,75,97
13,20,55
14,34,51
66,84,17
52,81,47
34,2,49
97,28,59
97,94,9
63,18,64
4,79,74
66,49,38
48,23,41
100,16,63
33,32,88
62,26,48
73,21,55
78,3,78
66,15,52
98,16,98
35,33,56
41,42,92
9,38,68
83,69,12
97,76,24
12,100,68
38,51,18
48,76,47
45,32,61
78,9,45
68,48,62
34,66,56
12,68,25
4,63,93
39,90,12
78,98,9
65,82,49
95,69,26
73,13,40
3,34,83
94,95,19
2,54,74
18,30,11
67,42,37
25,94,96
19,54,51
66,16,32
32,72,63
65,5,25
36,91,91
34,19,17
38,24,79
17,27,41
73,94,92
26,5,81
98,11,79
6,12,88
12,9,29
3,91,37
43,82,73
80,63,75
75,83,58
72,37,99
46,77,58
15,95,33
93,61,12
62,53,38
34,75,92
35,61,23
51,73,58
52,81,55
45,43,97
48,45,97
78,27,74
74,3,12
71,40,73
71,30,27
47,16,17
7,72,32
60,19,95
57,30,2
55,90,44
29,61,12
53,53,89
64,97,58
12,79,20
8,99,37
24,74,1
30,6,43
51,78,72
7,8,7
83,10,40
79,18,99
96,92,87
14,36,67
99,58,94
41,32,77
45,28,33
31,77,43
68,71,74
5,72,43
89,86,31
5,40,51
5,92,92
30,2,8
74,58,16
94,39,84
26,93,67
72,69,80
46,11,84
86,91,29
32,32,69
20,38,79
86,47,92
63,8,11
9,91,75
45,11,20
88,100,78
97,49,81
84,87,54
25,46,14
94,45,42
68,40,85
38,97,23
48,22,16
64,86,67
6,24,20
79,33,35
10,65,25
76,18,91
88,9,26
8,38,91
100,18,16
39,100,70
14,18,32
43,99,59
92,31,10
78,16,46
37,6,50
25,12,71
34,51,36
39,66,56
20,34,79
90,23,83
37,65,68
40,94,66
10,15,64
42,53,53
51,9,10
61,19,13
31,96,52
8,52,25
100,69,4
47,99,24
19,19,7
51,44,15
12,5,28
82,18,29
56,27,71
3,90,37
93,81,1
